;NAME;;PSRJ;;P0;;;P1;;;DIST;EDOT;BSURF_I;
;;;;;(s);;;;;;(kpc);(ergs/s);(G);
91;J0139+5621;cvh+14;J0139+5621;cvh+14;1.77534382596;1.0e-10;cvh+14;7.9096E-14;3.0e-18;cvh+14;2.410;5.6e+32;*;
92;B0136+57;dth78;J0139+5814;dth78;0.272450630950;1.5e-11;hlk+04;1.071167E-14;1.2e-19;hlk+04;2.600;2.1e+34;1.73e+12;
93;B0138+59;mth72;J0141+6009;mth72;1.2229485205457;1.8e-12;hlk+04;3.91070E-16;1.4e-20;hlk+04;2.300;8.4e+30;*;
94;J0141+63;slr+14;J0141+63;slr+14;0.04668588;4.9e-07;slr+14;*;0;*;8.774;*;*;
95;J0146+31;ttol16;J0146+31;ttol16;0.9381;0;ttol16;*;0;*;1.826;*;*;
96;J0146+6145;ims94;J0146+6145;ims94;8.6889941;4.0e-07;dk14;1.99E-12;5.0e-14;dk14;3.600;1.2e+32;1.33e+14;
97;B0144+59;stwd85;J0147+5922;stwd85;0.19632137543003;1.6e-13;ywml10;2.56763E-16;8.0e-21;ywml10;2.128;1.3e+33;2.27e+11;
98;B0148-06;mlt+78;J0151-0635;mlt+78;1.464664549334;7.0e-12;hlk+04;4.4259E-16;5.0e-20;hlk+04;25.000;5.6e+30;8.03e+11;
99;J0152+0948;clm+05;J0152+0948;clm+05;2.74664729014;1.0e-10;clm+05;1.700E-15;4.0e-18;clm+05;2.477;3.2e+30;*;
100;B0149-16;mlt+78;J0152-1637;mlt+78;0.8327416126878;1.3e-12;hlk+04;1.299202E-15;6.0e-21;hlk+04;0.920;8.9e+31;1.05e+12;
101;J0154+1833;mgf+19;J0154+1833;mgf+19;0.0023645697763006;5.0e-16;mgf+19;2.919E-21;1.2e-23;mgf+19;1.622;8.7e+33;5.37e+07;
102;J0156+04;dsm+16;J0156+04;dsm+16;*;0;*;*;0;*;25.000;*;*;
103;B0153+39;dtws85;J0156+3949;dtws85;1.81156061131;1.0e-10;hlk+04;1.516E-16;1.0e-18;hlk+04;4.916;1.0e+30;*;
104;B0154+61;dls72;J0157+6212;dls72;2.35174493646;7.0e-11;hlk+04;1.889254E-13;5.0e-19;hlk+04;1.786;5.7e+32;2.13e+13;
105;J0158+21;dsm+13;J0158+21;dsm+13;0.5053;0;dsm+13;*;0;*;1.569;*;*;
106;J0201+7005;kkl+15;J0201+7005;kkl+15;1.349184471846;1.0e-11;kkl+15;5.5144E-15;1.5e-18;kkl+15;1.172;8.9e+31;*;
107;J0205+6449;mss+02;J0205+6449;mss+02;0.06571592849324;9.0e-14;lrc+09;1.93754256E-13;4.0e-21;lrc+09;3.200;2.7e+37;3.61e+12;
108;B0203-40;mlt+78;J0206-4028;mlt+78;0.630551259569;4.0e-12;jbv+19;1.1966E-15;3.0e-19;jbv+19;1.260;1.9e+32;8.78e+11;
109;J0209+5759;gac+20;J0209+5759;gac+20;1.063906282526;1.4e-11;gac+20;1.39190E-14;1.4e-18;gac+20;1.743;4.6e+32;*;
110;J0210+5845;scb+19;J0210+5845;scb+19;1.766208099;2.0e-09;tbc+20;134.02E-15;2.0e-17;tbc+20;1.952;9.6e+32;*;
111;J0211-8159;lml+98;J0211-8159;lml+98;1.0773327013;8.0e-10;dsb+98;2.9E-16;2.0e-17;dsb+98;1.523;9.2e+30;*;
112;J0212+5222;bck+13;J0212+5222;bck+13;0.3763863640606;1.5e-12;lsk+18;6.5993E-15;1.3e-18;lsk+18;1.558;4.9e+33;*;
113;J0214+5222;slr+14;J0214+5222;slr+14;0.02457529479071;2.2e-13;slr+14;2.99E-19;1.0e-20;slr+14;1.161;8.0e+32;*;
114;J0215+6218;llc98;J0215+6218;llc98;0.548879819155;3.0e-12;hlk+04;6.6212E-16;3.0e-20;hlk+04;2.004;1.6e+32;*;
115;J0218+4232;nbf+95;J0218+4232;nbf+95;0.00232309053151224;8.0e-17;dcl+16;7.73955E-20;7.0e-25;dcl+16;3.150;2.4e+35;4.27e+08;
116;J0220+36;ttol16;J0220+36;ttol16;1.0297;0;ttol16;*;0;*;2.246;*;*;
117;J0229+20;dsm+13;J0229+20;dsm+13;0.8069;0;dsm+13;*;0;*;2.089;*;*;
118;B0226+70;dtws85;J0231+7026;dtws85;1.466820306152;7.0e-12;hlk+04;3.10998E-15;7.0e-20;hlk+04;1.755;3.9e+31;*;
119;J0241+16;dsm+13;J0241+16;dsm+13;1.5454;0;dsm+13;*;0;*;0.936;*;*;
120;J0242+62;hrk+08;J0242+62;hrk+08;0.592;0;hrk+08;*;0;*;0.217;*;*;
121;J0243+6027;hrk+08;J0243+6027;hrk+08;1.473;0;hrk+08;*;0;*;2.717;*;*;
122;J0244+14;dsm+13;J0244+14;dsm+13;2.1281;0;dsm+13;*;0;*;2.796;*;*;
123;J0248+4230;brj+21;J0248+4230;brj+21;0.0026008347856317;3.0e-16;brj+21;1.6873E-20;5.0e-24;brj+21;1.853;3.8e+34;*;
124;J0248+6021;tpc+11;J0248+6021;tpc+11;0.217094;5.0e-06;tpc+11;5.509E-14;5.0e-17;tpc+11;2.000;2.1e+35;3.50e+12;
125;J0250+5854;tbc+18;J0250+5854;tbc+18;23.535378476;1.0e-09;tbc+18;2.716E-14;7.0e-17;tbc+18;1.558;8.2e+28;*;
126;J0251+2606;cck+16;J0251+2606;cck+16;0.0025415543469461;3.0e-16;drc+21;7.572E-21;8.0e-24;drc+21;1.170;1.8e+34;*;
127;B0254-53;lvw69b;J0255-5304;lvw69b;0.4477084731988;3.0e-13;jbv+19;3.129E-17;3.0e-20;jbv+19;1.514;1.4e+31;1.18e+11;
128;J0301+35;mgf+19;J0301+35;mgf+19;0.1468;0.0e+00;mss+20;*;0;*;3.100;*;*;
129;J0302+2252;ttol16;J0302+2252;ttol16;1.207164839778;2.0e-12;mbc+20;8.25E-17;1.0e-19;mbc+20;1.014;1.9e+30;*;
130;B0301+19;fss73;J0304+1932;fss73;1.387584446262;3.0e-12;hlk+04;1.295235E-15;2.0e-20;hlk+04;0.739;1.9e+31;1.35e+12;
131;J0305+11;scb+19;J0305+11;scb+19;0.8621;0;scb+19;*;0;*;1.838;*;*;
132;J0307+7443;hrm+11;J0307+7443;hrm+11;0.00316;0;hrm+11;*;0;*;0.386;*;*;
133;J0312-0921;trr+21;J0312-0921;trr+21;0.003704;0;trr+21;1.972E-20;0;fermi21;0.817;1.5e+34;*;
134;J0317+13;ttm18;J0317+13;ttm18;1.9743;0;scb+19;*;0;*;0.366;*;*;
135;J0318+0253;wlz+18;J0318+0253;wlz+18;0.0051898521745201;1.4e-15;wlc+21;1.762E-20;3.0e-23;wlc+21;1.328;5.0e+33;*;
136;B0320+39;dth78;J0323+3944;dth78;3.032071956385;1.0e-11;hlk+04;6.3562E-16;7.0e-20;hlk+04;0.952;9.0e+29;1.39e+12;
137;J0324+5239;bck+13;J0324+5239;bck+13;0.336620230291;3.0e-12;bck+13;0.381E-15;3.0e-18;bck+13;2.290;3.9e+32;*;
138;J0325+6744;slr+14;J0325+6744;slr+14;1.364678767282;1.5e-11;lsk+18;1.553E-15;1.0e-17;lsk+18;1.929;2.4e+31;*;
139;J0329+1654;lxf+05;J0329+1654;lxf+05;0.893319660649;1.0e-12;lxf+05;0.21525E-15;6.0e-20;lxf+05;2.557;1.2e+31;*;
140;B0329+54;cp68;J0332+5434;cp68;0.714519699726;4.0e-12;hlk+04;2.048265E-15;8.0e-21;hlk+04;1.695;2.2e+32;1.22e+12;
141;B0331+45;dtws85;J0335+4555;dtws85;0.26920054092953;1.3e-13;hlk+04;7.3505E-18;1.0e-21;hlk+04;2.439;1.5e+31;4.49e+10;
142;J0335+6623;slr+14;J0335+6623;slr+14;1.76193424742;1.9e-10;lsk+18;4.81E-15;1.0e-16;lsk+18;1.907;3.5e+31;*;
143;J0337+1715;rsa+14;J0337+1715;rsa+14;0.00273258863244;9.0e-14;rsa+14;1.7666E-20;9.0e-24;rsa+14;1.300;3.4e+34;2.20e+08;
144;J0337+79;kkl+15;J0337+79;kkl+15;2.05621;6.0e-05;kkl+15;*;0;*;1.053;*;*;
145;J0340+4130;hrm+11;J0340+4130;hrm+11;0.003299339366490734;1.7e-17;abb+18;7.0470E-21;1.2e-24;abb+18;1.603;7.7e+33;1.53e+08;
146;J0341+5711;hrk+08;J0341+5711;hrk+08;1.888;0;hrk+08;*;0;*;2.037;*;*;
147;J0343+06;mgf+19;J0343+06;mgf+19;1.00764;0.0e+00;mgf+19;*;0;*;3.774;*;*;
148;J0343-3000;bjd+06;J0343-3000;bjd+06;2.59702715738;9.0e-11;bjd+06;0.057E-15;9.0e-18;bjd+06;1.594;1.3e+29;*;
149;B0339+53;dth78;J0343+5312;dth78;1.934478067294;1.5e-11;hlk+04;1.342243E-14;1.5e-19;hlk+04;1.705;7.3e+31;*;
150;J0344-0901;clh+20;J0344-0901;clh+20;1.226005572598;1.3e-11;clh+20;3.4708E-15;1.6e-18;clh+20;1.507;7.4e+31;*;
151;J0348+0432;lbr+13;J0348+0432;lbr+13;0.0391226569017806;7.0e-16;afw+13;2.4075E-19;5.0e-23;afw+13;2.100;1.6e+32;3.07e+09;
152;J0349+2340;scb+19;J0349+2340;scb+19;2.42077097760;4.0e-11;mbc+20;1.0995E-15;7.0e-19;mbc+20;3.746;3.1e+30;*;
153;J0355+28;mss+20;J0355+28;mss+20;0.0943;0.0e+00;mss+20;*;0;*;1.789;*;*;
154;J0357-05;mss+20;J0357-05;mss+20;*;0;*;*;0;*;25.000;*;*;
155;J0357+3205;aaa+09c;J0357+3205;aaa+09c;0.4441044988;6.0e-10;rkp+11;1.3037E-14;2.0e-17;rkp+11;0.835;5.9e+33;2.43e+12;
156;B0353+52;dtws85;J0357+5236;dtws85;0.1970300980314;3.0e-13;hlk+04;4.76594E-16;3.0e-21;hlk+04;3.571;2.5e+33;3.10e+11;
157;J0358+4155;slr+14;J0358+4155;slr+14;0.2264843322519;3.0e-13;lsk+18;1.4583E-16;1.6e-19;lsk+18;1.481;5.0e+32;*;
158;B0355+54;mth72;J0358+5413;mth72;0.156384121559;8.0e-12;lwy+16;4.39496E-15;5.0e-20;lwy+16;1.000;4.5e+34;8.39e+11;
159;J0358+6627;slr+14;J0358+6627;slr+14;0.09150578075475;1.7e-13;lsk+18;1.089E-17;9.0e-20;lsk+18;1.884;5.6e+32;*;
160;J0359+5414;cwp+17;J0359+5414;cwp+17;0.0794272322920;1.3e-12;cwp+17;1.673360E-14;7.0e-20;cwp+17;*;1.3e+36;*;
161;B0403-76;mlt+78;J0401-7608;mlt+78;0.54525418661;3.0e-11;lbs+20;1.54380E-15;1.2e-19;lbs+20;1.014;3.8e+32;*;
162;J0402+4825;ccl+21;J0402+4825;ccl+21;0.512194448731;3.0e-12;ccl+21;2.755E-16;6.0e-19;ccl+21;1.849;8.1e+31;*;
163;J0405+3347;mss+20;J0405+3347;mss+20;0.0165;0.0e+00;mss+20;*;0;*;1.668;*;*;
164;J0406+30;mss+20;J0406+30;mss+20;0.0026;0.0e+00;mss+20;*;0;*;1.641;*;*;
165;B0402+61;dth78;J0406+6138;dth78;0.5945761650437;8.0e-13;ywml10;5.57316E-15;3.0e-20;ywml10;4.545;1.0e+33;1.84e+12;
166;J0407+1607;lxf+05;J0407+1607;lxf+05;0.02570173919463;2.0e-14;lxf+05;7.9E-20;3.0e-21;lxf+05;1.340;1.8e+32;*;
167;J0408+551;hrk+08;J0408+551;hrk+08;1.837;0;hrk+08;*;0;*;1.573;*;*;
168;J0408+552;hrk+08;J0408+552;hrk+08;0.754;0;hrk+08;*;0;*;1.661;*;*;
169;J0410-31;bbj+11;J0410-31;bbj+11;1.8785;2.0e-04;bbj+11;*;0;*;0.415;*;*;
170;J0413+58;hrk+08;J0413+58;hrk+08;0.687;0;hrk+08;*;0;*;1.630;*;*;
171;J0414+31;mss+20;J0414+31;mss+20;1.081;0.0e+00;mss+20;*;0;*;1.842;*;*;
172;B0410+69;dtws85;J0415+6954;dtws85;0.3907150899386;3.0e-13;hlk+04;7.6601E-17;3.0e-21;hlk+04;1.368;5.1e+31;1.75e+11;
173;J0417+35;cnst96;J0417+35;cnst96;0.65440;3.0e-05;cnst96;*;0;*;1.480;*;*;
174;J0417+61;slr+14;J0417+61;slr+14;0.440283;1.3e-05;slr+14;*;0;*;1.837;*;*;
175;J0418-4154;bcm+16;J0418-4154;bcm+16;0.757118945031;1.2e-11;lbs+20;1.31944E-15;4.0e-20;lbs+20;2.519;1.2e+32;*;
176;J0418+5732;vck+10;J0418+5732;vck+10;9.07838822;5.0e-08;rip+13;4.1E-15;1.0e-16;rip+13;*;2.2e+29;*;
177;J0418+6635;trr+21;J0418+6635;trr+21;0.00291;0;trr+21;*;0;*;2.206;*;*;
178;J0419+44;hrk+08;J0419+44;hrk+08;1.241;0;hrk+08;*;0;*;1.687;*;*;
179;J0420-5022;hmz+04;J0420-5022;hmz+04;3.453004027;1.2e-08;kv11;2.759E-14;1.0e-16;kv11;*;2.6e+31;*;
180;J0421-0345;mld+96;J0421-0345;mld+96;2.161308494552;1.5e-11;hlk+04;1.16338E-15;1.5e-19;hlk+04;2.196;4.5e+30;*;
181;J0421+3255;ttol16;J0421+3255;ttol16;0.900105016;1.0e-09;tbc+20;0.06E-15;2.0e-17;tbc+20;1.939;3.2e+30;*;
182;J0426+4933;hrk+08;J0426+4933;hrk+08;0.922474730055;2.0e-12;bck+13;39.3444E-15;2.0e-19;bck+13;1.795;2.0e+33;*;
183;J0435+2749;rtj+96;J0435+2749;rtj+96;0.3262794534509;1.4e-12;bfrs18;8.17E-18;1.1e-19;bfrs18;1.521;9.3e+30;*;
184;J0437-4715;jlh+93;J0437-4715;jlh+93;0.005757451936712637;1.7e-17;rhc+16;5.729215E-20;1.7e-25;rhc+16;0.157;1.2e+34;2.85e+08;
